MLFQ CLEANED TRACE
Only mlfqtest processes (PIDs 3-7). Duplicate observations removed. Original values preserved.

TICK PID STATE QUEUE SLICE TOTAL INQ ARR FIRST DONE WAIT RESP TURN
57 6 runble 1 0 2 1 38 41 0 12 3 0
57 7 runble 1 0 2 1 38 42 0 13 4 0
59 3 runble 2 0 10 1 38 38 0 9 0 0
59 4 run 1 2 5 0 38 39 0 16 1 0
59 5 runble 1 0 2 1 38 40 0 11 2 0
59 6 runble 1 0 2 1 38 41 0 12 3 0
59 7 runble 1 0 2 1 38 42 0 13 4 0
61 3 runble 2 0 10 1 38 38 0 9 0 0
61 4 runble 2 0 7 1 38 39 0 16 1 0
61 5 run 1 0 2 0 38 40 0 21 2 0
61 6 runble 1 0 2 1 38 41 0 12 3 0
61 7 runble 1 0 2 1 38 42 0 13 4 0
62 3 runble 2 0 10 1 38 38 0 9 0 0
62 4 runble 2 0 7 1 38 39 0 16 1 0
62 5 run 1 1 3 0 38 40 0 21 2 0
62 6 runble 1 0 2 1 38 41 0 12 3 0
62 7 runble 1 0 2 1 38 42 0 13 4 0
64 3 runble 2 0 10 1 38 38 0 9 0 0
64 4 runble 2 0 7 1 38 39 0 16 1 0
64 5 run 1 3 5 0 38 40 0 21 2 0
64 6 runble 1 0 2 1 38 41 0 12 3 0
64 7 runble 1 0 2 1 38 42 0 13 4 0
66 3 runble 2 0 10 1 38 38 0 9 0 0
66 4 runble 2 0 7 1 38 39 0 16 1 0
66 5 runble 2 0 6 1 38 40 0 21 2 0
66 6 run 1 1 3 0 38 41 0 25 3 0
66 7 runble 1 0 2 1 38 42 0 13 4 0
68 3 runble 2 0 10 1 38 38 0 9 0 0
68 4 runble 2 0 7 1 38 39 0 16 1 0
68 5 runble 2 0 6 1 38 40 0 21 2 0
68 6 run 1 3 5 0 38 41 0 25 3 0
68 7 runble 1 0 2 1 38 42 0 13 4 0
69 3 runble 2 0 10 1 38 38 0 9 0 0
69 4 runble 2 0 7 1 38 39 0 16 1 0
69 5 runble 2 0 6 1 38 40 0 21 2 0
69 6 runble 2 0 6 1 38 41 0 25 3 0
69 7 run 1 0 2 0 38 42 0 29 4 0
71 3 runble 2 0 10 1 38 38 0 9 0 0
71 4 runble 2 0 7 1 38 39 0 16 1 0
71 5 runble 2 0 6 1 38 40 0 21 2 0
71 6 runble 2 0 6 1 38 41 0 25 3 0
71 7 run 1 2 4 0 38 42 0 29 4 0
73 3 run 2 0 10 0 38 38 0 25 0 0
73 4 runble 2 0 7 1 38 39 0 16 1 0
73 5 runble 2 0 6 1 38 40 0 21 2 0
73 6 runble 2 0 6 1 38 41 0 25 3 0
73 7 runble 2 0 6 1 38 42 0 29 4 0
74 3 run 2 1 11 0 38 38 0 25 0 0
74 4 runble 2 0 7 1 38 39 0 16 1 0
74 5 runble 2 0 6 1 38 40 0 21 2 0
74 6 runble 2 0 6 1 38 41 0 25 3 0
74 7 runble 2 0 6 1 38 42 0 29 4 0
76 3 run 2 3 13 0 38 38 0 25 0 0
76 4 runble 2 0 7 1 38 39 0 16 1 0
76 5 runble 2 0 6 1 38 40 0 21 2 0
76 6 runble 2 0 6 1 38 41 0 25 3 0
76 7 runble 2 0 6 1 38 42 0 29 4 0
78 3 run 2 5 15 0 38 38 0 25 0 0
78 4 runble 2 0 7 1 38 39 0 16 1 0
78 5 runble 2 0 6 1 38 40 0 21 2 0
78 6 runble 2 0 6 1 38 41 0 25 3 0
78 7 runble 2 0 6 1 38 42 0 29 4 0
80 3 run 2 7 17 0 38 38 0 25 0 0
80 4 runble 2 0 7 1 38 39 0 16 1 0
80 5 runble 2 0 6 1 38 40 0 21 2 0
80 6 runble 2 0 6 1 38 41 0 25 3 0
80 7 runble 2 0 6 1 38 42 0 29 4 0
81 3 runble 3 0 18 1 38 38 0 25 0 0
81 4 run 2 0 7 0 38 39 0 36 1 0
81 5 runble 2 0 6 1 38 40 0 21 2 0
81 6 runble 2 0 6 1 38 41 0 25 3 0
81 7 runble 2 0 6 1 38 42 0 29 4 0
83 3 runble 3 0 18 1 38 38 0 25 0 0
83 4 run 2 2 9 0 38 39 0 36 1 0
83 5 runble 2 0 6 1 38 40 0 21 2 0
83 6 runble 2 0 6 1 38 41 0 25 3 0
83 7 runble 2 0 6 1 38 42 0 29 4 0
85 3 runble 3 0 18 1 38 38 0 25 0 0
85 4 run 2 4 11 0 38 39 0 36 1 0
85 5 runble 2 0 6 1 38 40 0 21 2 0
85 6 runble 2 0 6 1 38 41 0 25 3 0
85 7 runble 2 0 6 1 38 42 0 29 4 0
87 3 runble 3 0 18 1 38 38 0 25 0 0
87 4 run 2 6 13 0 38 39 0 36 1 0
87 5 runble 2 0 6 1 38 40 0 21 2 0
87 6 runble 2 0 6 1 38 41 0 25 3 0
87 7 runble 2 0 6 1 38 42 0 29 4 0
88 3 runble 3 0 18 1 38 38 0 25 0 0
88 4 run 2 7 14 0 38 39 0 36 1 0
88 5 runble 2 0 6 1 38 40 0 21 2 0
88 6 runble 2 0 6 1 38 41 0 25 3 0
88 7 runble 2 0 6 1 38 42 0 29 4 0
90 3 runble 3 0 18 1 38 38 0 25 0 0
90 4 runble 3 0 15 1 38 39 0 36 1 0
90 5 run 2 1 7 0 38 40 0 45 2 0
90 6 runble 2 0 6 1 38 41 0 25 3 0
90 7 runble 2 0 6 1 38 42 0 29 4 0
92 3 runble 3 0 18 1 38 38 0 25 0 0
92 4 runble 3 0 15 1 38 39 0 36 1 0
92 5 run 2 3 9 0 38 40 0 45 2 0
92 6 runble 2 0 6 1 38 41 0 25 3 0
92 7 runble 2 0 6 1 38 42 0 29 4 0
94 3 runble 3 0 18 1 38 38 0 25 0 0
94 4 runble 3 0 15 1 38 39 0 36 1 0
94 5 run 2 5 11 0 38 40 0 45 2 0
94 6 runble 2 0 6 1 38 41 0 25 3 0
94 7 runble 2 0 6 1 38 42 0 29 4 0
96 3 runble 3 0 18 1 38 38 0 25 0 0
96 4 runble 3 0 15 1 38 39 0 36 1 0
96 5 runble 2 0 13 0 38 40 0 45 2 0
96 6 runble 2 0 6 1 38 41 0 25 3 0
96 7 runble 2 0 6 1 38 42 0 29 4 0
97 3 runble 1 0 19 1 38 38 0 40 0 0
97 4 run 0 0 15 0 38 39 0 44 1 0
97 5 runble 0 0 13 1 38 40 0 45 2 0
97 6 runble 0 0 6 1 38 41 0 25 3 0
97 7 runble 0 0 6 1 38 42 0 29 4 0
99 3 runble 1 0 19 1 38 38 0 40 0 0
99 4 runble 1 0 16 1 38 39 0 44 1 0
99 5 runble 1 0 14 1 38 40 0 47 2 0
99 6 run 0 0 6 0 38 41 0 55 3 0
99 7 runble 0 0 6 1 38 42 0 29 4 0
101 3 run 1 0 19 0 38 38 0 44 0 0
101 4 runble 1 0 16 1 38 39 0 44 1 0
101 5 runble 1 0 14 1 38 40 0 47 2 0
101 6 runble 1 0 7 1 38 41 0 55 3 0
101 7 runble 1 0 7 1 38 42 0 56 4 0
103 3 run 1 2 21 0 38 38 0 44 0 0
103 4 runble 1 0 16 1 38 39 0 44 1 0
103 5 runble 1 0 14 1 38 40 0 47 2 0
103 6 runble 1 0 7 1 38 41 0 55 3 0
103 7 runble 1 0 7 1 38 42 0 56 4 0
105 3 runble 2 0 23 1 38 38 0 44 0 0
105 4 run 1 0 16 0 38 39 0 51 1 0
105 5 runble 1 0 14 1 38 40 0 47 2 0
105 6 runble 1 0 7 1 38 41 0 55 3 0
105 7 runble 1 0 7 1 38 42 0 56 4 0
107 3 runble 2 0 23 1 38 38 0 44 0 0
107 4 run 1 2 18 0 38 39 0 51 1 0
107 5 runble 1 0 14 1 38 40 0 47 2 0
107 6 runble 1 0 7 1 38 41 0 55 3 0
107 7 runble 1 0 7 1 38 42 0 56 4 0
108 3 runble 2 0 23 1 38 38 0 44 0 0
108 4 run 1 3 19 0 38 39 0 51 1 0
108 5 runble 1 0 14 1 38 40 0 47 2 0
108 6 runble 1 0 7 1 38 41 0 55 3 0
108 7 runble 1 0 7 1 38 42 0 56 4 0
110 3 runble 2 0 23 1 38 38 0 44 0 0
110 4 runble 2 0 20 1 38 39 0 51 1 0
110 5 run 1 1 15 0 38 40 0 57 2 0
110 6 runble 1 0 7 1 38 41 0 55 3 0
110 7 runble 1 0 7 1 38 42 0 56 4 0
112 3 runble 2 0 23 1 38 38 0 44 0 0
112 4 runble 2 0 20 1 38 39 0 51 1 0
112 5 run 1 3 17 0 38 40 0 57 2 0
112 6 runble 1 0 7 1 38 41 0 55 3 0
112 7 runble 1 0 7 1 38 42 0 56 4 0
114 3 runble 2 0 23 1 38 38 0 44 0 0
114 4 runble 2 0 20 1 38 39 0 51 1 0
114 5 runble 2 0 18 1 38 40 0 57 2 0
114 6 run 1 1 8 0 38 41 0 68 3 0
114 7 runble 1 0 7 1 38 42 0 56 4 0
116 3 runble 2 0 23 1 38 38 0 44 0 0
116 4 runble 2 0 20 1 38 39 0 51 1 0
116 5 runble 2 0 18 1 38 40 0 57 2 0
116 6 run 1 3 10 0 38 41 0 68 3 0
116 7 runble 1 0 7 1 38 42 0 56 4 0
117 3 runble 2 0 23 1 38 38 0 44 0 0
117 4 runble 2 0 20 1 38 39 0 51 1 0
117 5 runble 2 0 18 1 38 40 0 57 2 0
117 6 runble 2 0 11 1 38 41 0 68 3 0
117 7 run 1 0 7 0 38 42 0 72 4 0
119 3 runble 2 0 23 1 38 38 0 44 0 0
119 4 runble 2 0 20 1 38 39 0 51 1 0
119 5 runble 2 0 18 1 38 40 0 57 2 0
119 6 runble 2 0 11 1 38 41 0 68 3 0
119 7 run 1 2 9 0 38 42 0 72 4 0
121 3 run 2 0 23 0 38 38 0 60 0 0
121 4 runble 2 0 20 1 38 39 0 51 1 0
121 5 runble 2 0 18 1 38 40 0 57 2 0
121 6 runble 2 0 11 1 38 41 0 68 3 0
121 7 runble 2 0 11 1 38 42 0 72 4 0
123 3 run 2 2 25 0 38 38 0 60 0 0
123 4 runble 2 0 20 1 38 39 0 51 1 0
123 5 runble 2 0 18 1 38 40 0 57 2 0
123 6 runble 2 0 11 1 38 41 0 68 3 0
123 7 runble 2 0 11 1 38 42 0 72 4 0
125 3 run 2 4 27 0 38 38 0 60 0 0
125 4 runble 2 0 20 1 38 39 0 51 1 0
125 5 runble 2 0 18 1 38 40 0 57 2 0
125 6 runble 2 0 11 1 38 41 0 68 3 0
125 7 runble 2 0 11 1 38 42 0 72 4 0
127 3 run 2 6 29 0 38 38 0 60 0 0
127 4 runble 2 0 20 1 38 39 0 51 1 0
127 5 runble 2 0 18 1 38 40 0 57 2 0
127 6 runble 2 0 11 1 38 41 0 68 3 0
127 7 runble 2 0 11 1 38 42 0 72 4 0
129 3 runble 3 0 31 1 38 38 0 60 0 0
129 4 run 2 0 20 0 38 39 0 71 1 0
129 5 runble 2 0 18 1 38 40 0 57 2 0
129 6 runble 2 0 11 1 38 41 0 68 3 0
129 7 runble 2 0 11 1 38 42 0 72 4 0
131 3 runble 3 0 31 1 38 38 0 60 0 0
131 4 run 2 2 22 0 38 39 0 71 1 0
131 5 runble 2 0 18 1 38 40 0 57 2 0
131 6 runble 2 0 11 1 38 41 0 68 3 0
131 7 runble 2 0 11 1 38 42 0 72 4 0
133 3 runble 3 0 31 1 38 38 0 60 0 0
133 4 run 2 4 24 0 38 39 0 71 1 0
133 5 runble 2 0 18 1 38 40 0 57 2 0
133 6 runble 2 0 11 1 38 41 0 68 3 0
133 7 runble 2 0 11 1 38 42 0 72 4 0
135 3 runble 3 0 31 1 38 38 0 60 0 0
135 4 run 2 6 26 0 38 39 0 71 1 0
135 5 runble 2 0 18 1 38 40 0 57 2 0
135 6 runble 2 0 11 1 38 41 0 68 3 0
135 7 runble 2 0 11 1 38 42 0 72 4 0
136 3 runble 3 0 31 1 38 38 0 60 0 0
136 4 run 2 7 27 0 38 39 0 71 1 0
136 5 runble 2 0 18 1 38 40 0 57 2 0
136 6 runble 2 0 11 1 38 41 0 68 3 0
136 7 runble 2 0 11 1 38 42 0 72 4 0
138 3 runble 3 0 31 1 38 38 0 60 0 0
138 4 runble 3 0 28 1 38 39 0 71 1 0
138 5 run 2 1 19 0 38 40 0 81 2 0
138 6 runble 2 0 11 1 38 41 0 68 3 0
138 7 runble 2 0 11 1 38 42 0 72 4 0
140 3 runble 3 0 31 1 38 38 0 60 0 0
140 4 runble 3 0 28 1 38 39 0 71 1 0
140 5 run 2 3 21 0 38 40 0 81 2 0
140 6 runble 2 0 11 1 38 41 0 68 3 0
140 7 runble 2 0 11 1 38 42 0 72 4 0
142 3 runble 3 0 31 1 38 38 0 60 0 0
142 4 runble 3 0 28 1 38 39 0 71 1 0
142 5 run 2 5 23 0 38 40 0 81 2 0
142 6 runble 2 0 11 1 38 41 0 68 3 0
142 7 runble 2 0 11 1 38 42 0 72 4 0
144 3 run 0 0 31 0 38 38 0 75 0 0
144 4 runble 0 0 28 1 38 39 0 71 1 0
144 5 runble 0 0 25 1 38 40 0 81 2 0
144 6 runble 0 0 11 1 38 41 0 68 3 0
144 7 runble 0 0 11 1 38 42 0 72 4 0
146 3 runble 1 0 32 1 38 38 0 75 0 0
146 4 runble 1 0 29 1 38 39 0 79 1 0
146 5 run 0 0 25 0 38 40 0 83 2 0
146 6 runble 0 0 11 1 38 41 0 68 3 0
146 7 runble 0 0 11 1 38 42 0 72 4 0
148 3 runble 1 0 32 1 38 38 0 75 0 0
148 4 runble 1 0 29 1 38 39 0 79 1 0
148 5 runble 1 0 26 1 38 40 0 83 2 0
148 6 runble 1 0 12 1 38 41 0 98 3 0
148 7 run 0 0 11 0 38 42 0 99 4 0
150 3 run 1 1 33 0 38 38 0 79 0 0
150 4 runble 1 0 29 1 38 39 0 79 1 0
150 5 runble 1 0 26 1 38 40 0 83 2 0
150 6 runble 1 0 12 1 38 41 0 98 3 0
150 7 runble 1 0 12 1 38 42 0 99 4 0
152 3 run 1 3 35 0 38 38 0 79 0 0
152 4 runble 1 0 29 1 38 39 0 79 1 0
152 5 runble 1 0 26 1 38 40 0 83 2 0
152 6 runble 1 0 12 1 38 41 0 98 3 0
152 7 runble 1 0 12 1 38 42 0 99 4 0
154 3 runble 2 0 36 1 38 38 0 79 0 0
154 4 run 1 1 30 0 38 39 0 86 1 0
154 5 runble 1 0 26 1 38 40 0 83 2 0
154 6 runble 1 0 12 1 38 41 0 98 3 0
154 7 runble 1 0 12 1 38 42 0 99 4 0
156 3 runble 2 0 36 1 38 38 0 79 0 0
156 4 run 1 3 32 0 38 39 0 86 1 0
156 5 runble 1 0 26 1 38 40 0 83 2 0
156 6 runble 1 0 12 1 38 41 0 98 3 0
156 7 runble 1 0 12 1 38 42 0 99 4 0
158 3 runble 2 0 36 1 38 38 0 79 0 0
158 4 runble 2 0 33 1 38 39 0 86 1 0
158 5 run 1 1 27 0 38 40 0 93 2 0
158 6 runble 1 0 12 1 38 41 0 98 3 0
158 7 runble 1 0 12 1 38 42 0 99 4 0
160 3 runble 2 0 36 1 38 38 0 79 0 0
160 4 runble 2 0 33 1 38 39 0 86 1 0
160 5 run 1 3 29 0 38 40 0 93 2 0
160 6 runble 1 0 12 1 38 41 0 98 3 0
160 7 runble 1 0 12 1 38 42 0 99 4 0
162 3 runble 2 0 36 1 38 38 0 79 0 0
162 4 runble 2 0 33 1 38 39 0 86 1 0
162 5 runble 2 0 30 1 38 40 0 93 2 0
162 6 run 1 1 13 0 38 41 0 111 3 0
162 7 runble 1 0 12 1 38 42 0 99 4 0
163 3 runble 2 0 36 1 38 38 0 79 0 0
163 4 runble 2 0 33 1 38 39 0 86 1 0
163 5 runble 2 0 30 1 38 40 0 93 2 0
163 6 run 1 2 14 0 38 41 0 111 3 0
163 7 runble 1 0 12 1 38 42 0 99 4 0
165 3 runble 2 0 36 1 38 38 0 79 0 0
165 4 runble 2 0 33 1 38 39 0 86 1 0
165 5 runble 2 0 30 1 38 40 0 93 2 0
165 6 runble 2 0 16 1 38 41 0 111 3 0
165 7 run 1 0 12 0 38 42 0 115 4 0
167 3 runble 2 0 36 1 38 38 0 79 0 0
167 4 runble 2 0 33 1 38 39 0 86 1 0
167 5 runble 2 0 30 1 38 40 0 93 2 0
167 6 runble 2 0 16 1 38 41 0 111 3 0
167 7 run 1 2 14 0 38 42 0 115 4 0
